company,company_ticker,peer_bucket,peer_company,peer_ticker,screener_url,notes,market_data_date,market_cap_inr_cr,enterprise_value_inr_cr,revenue_inr_cr,ebitda_inr_cr,pat_inr_cr,ev_sales,ev_ebitda,pe,pb,roe,roce,source,refresh_status,parse_notes,http_status,yahoo_ticker,ev_pb_refresh_date,yahoo_market_cap_inr_cr,yahoo_enterprise_value_inr_cr,yahoo_price_to_book,yahoo_trailing_pe,yahoo_forward_pe,yahoo_refresh_status,yahoo_parse_note,true_ev_sales_yahoo_screener,true_ev_ebitda_yahoo_screener,final_pb,final_ev_source,final_pb_source
Time Technoplast,TIMETECHNO.NS,Industrial packaging / polymers,Supreme Industries,SUPREMEIND,https://www.screener.in/company/SUPREMEIND/consolidated/,Plastics peer,2026-05-02 08:01 UTC,51229,TBD,10492,1344,1035,4.88,38.12,49.6,TBD,19.3,24.4,https://www.screener.in/company/SUPREMEIND/consolidated/,Fetched; manual review required,Missing: pb,200,SUPREMEIND.NS,2026-05-02 08:03 UTC,51236.86,52357.25,8.85,49.69,41.77,Fetched; manual review required,Fetched core Yahoo EV/PB fields,4.99,38.96,8.85,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Time Technoplast,TIMETECHNO.NS,Industrial packaging / polymers,Nilkamal,NILKAMAL,https://www.screener.in/company/NILKAMAL/consolidated/,Plastics peer,2026-05-02 08:01 UTC,3107,TBD,3363,164,70,0.92,18.94,43.3,TBD,4.47,6.95,https://www.screener.in/company/NILKAMAL/consolidated/,Fetched; manual review required,Missing: pb,200,NILKAMAL.NS,2026-05-02 08:03 UTC,3106.38,3362.48,1.75,44.26,28.77,Fetched; manual review required,Fetched core Yahoo EV/PB fields,1.0,20.5,1.75,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Time Technoplast,TIMETECHNO.NS,Industrial packaging / polymers,TPL Plastech,TPLPLASTEH,https://www.screener.in/company/TPLPLASTEH/consolidated/,Industrial packaging peer,2026-05-02 08:01 UTC,311,TBD,438,53,37,0.71,5.87,5.56,TBD,13.8,16.6,https://www.screener.in/company/TPLPLASTEH/consolidated/,Fetched; manual review required,Missing: pb,200,TPLPLASTEH.NS,2026-05-02 08:03 UTC,310.77,258.54,1.26,8.44,8.53,Fetched; manual review required,Fetched core Yahoo EV/PB fields,0.59,4.88,1.26,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Bharat Electronics,BEL.NS,Defence electronics / PSU defence,Hindustan Aeronautics,HAL,https://www.screener.in/company/HAL/consolidated/,Defence PSU peer,2026-05-02 08:01 UTC,320222,TBD,30783,9759,8450,10.4,32.81,37.2,TBD,28.5,33.4,https://www.screener.in/company/HAL/consolidated/,Fetched; manual review required,Missing: pb,200,HAL.NS,2026-05-02 08:03 UTC,320222.9,300689.24,10.64,37.86,33.88,Fetched; manual review required,Fetched core Yahoo EV/PB fields,9.77,30.81,10.64,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Bharat Electronics,BEL.NS,Defence electronics / PSU defence,Bharat Dynamics,BDL,https://www.screener.in/company/BDL/consolidated/,Defence PSU peer,2026-05-02 08:01 UTC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,https://www.screener.in/company/BDL/consolidated/,Fetched; manual review required,"Missing: market_cap_inr_cr, revenue_inr_cr, ebitda_inr_cr, pat_inr_cr, pe, pb, roe, roce",200,BDL.NS,2026-05-02 08:03 UTC,51474.88,45805.97,13.14,68.43,54.35,Fetched; manual review required,Fetched core Yahoo EV/PB fields,TBD,TBD,13.14,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Bharat Electronics,BEL.NS,Defence electronics / PSU defence,Data Patterns,DATAPATTNS,https://www.screener.in/company/DATAPATTNS/consolidated/,Defence electronics peer,2026-05-02 08:01 UTC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,https://www.screener.in/company/DATAPATTNS/consolidated/,Fetched; manual review required,"Missing: market_cap_inr_cr, revenue_inr_cr, ebitda_inr_cr, pat_inr_cr, pe, pb, roe, roce",200,DATAPATTNS.NS,2026-05-02 08:03 UTC,22737.47,22517.53,12.54,101.52,76.81,Fetched; manual review required,Fetched core Yahoo EV/PB fields,TBD,TBD,12.54,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Bharat Electronics,BEL.NS,Defence electronics / PSU defence,Astra Microwave,ASTRAMICRO,https://www.screener.in/company/ASTRAMICRO/consolidated/,Defence electronics peer,2026-05-02 08:01 UTC,10747,TBD,1352,371,220,7.95,28.97,62.0,TBD,12.0,19.2,https://www.screener.in/company/ASTRAMICRO/consolidated/,Fetched; manual review required,Missing: pb,200,ASTRAMICRO.NS,2026-05-02 08:03 UTC,10747.33,10846.76,10.49,63.02,59.36,Fetched; manual review required,Fetched core Yahoo EV/PB fields,8.02,29.24,10.49,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Polycab India,POLYCAB.NS,Cables and electricals,KEI Industries,KEI,https://www.screener.in/company/KEI/consolidated/,Cable peer,2026-05-02 08:01 UTC,32947,TBD,9743,1094,700,3.38,30.12,47.1,TBD,22.6,30.2,https://www.screener.in/company/KEI/consolidated/,Fetched; manual review required,Missing: pb,200,KEI.NS,2026-05-02 08:03 UTC,32944.34,31996.66,10.61,47.17,35.37,Fetched; manual review required,Fetched core Yahoo EV/PB fields,3.28,29.25,10.61,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Polycab India,POLYCAB.NS,Cables and electricals,RR Kabel,RRKABEL,https://www.screener.in/company/RRKABEL/consolidated/,Cable peer,2026-05-02 08:01 UTC,15602,TBD,8083,583,352,1.93,26.76,40.1,TBD,14.0,20.6,https://www.screener.in/company/RRKABEL/consolidated/,Fetched; manual review required,Missing: pb,200,RRKABEL.NS,2026-05-02 08:03 UTC,15598.78,15694.93,5.68,46.34,35.51,Fetched; manual review required,Fetched core Yahoo EV/PB fields,1.94,26.92,5.68,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Polycab India,POLYCAB.NS,Cables and electricals,Finolex Cables,FINCABLES,https://www.screener.in/company/FINCABLES/consolidated/,Cable peer,2026-05-02 08:01 UTC,12946,TBD,5323,660,564,2.43,19.62,23.3,TBD,12.4,15.7,https://www.screener.in/company/FINCABLES/consolidated/,Fetched; manual review required,Missing: pb,200,FINCABLES.NS,2026-05-02 08:03 UTC,12944.38,10932.7,2.8,24.58,24.04,Fetched; manual review required,Fetched core Yahoo EV/PB fields,2.05,16.56,2.8,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Polycab India,POLYCAB.NS,Cables and electricals,Havells India,HAVELLS,https://www.screener.in/company/HAVELLS/consolidated/,Electricals peer,2026-05-02 08:01 UTC,99273,TBD,21571,2759,1704,4.6,35.98,59.2,TBD,20.0,25.6,https://www.screener.in/company/HAVELLS/consolidated/,Fetched; manual review required,Missing: pb,200,HAVELLS.NS,2026-05-02 08:03 UTC,99277.63,97289.75,9.43,59.4,46.3,Fetched; manual review required,Fetched core Yahoo EV/PB fields,4.51,35.26,9.43,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
SJS Enterprises,SJS.NS,Auto ancillary / decorative aesthetics,Uno Minda,UNOMINDA,https://www.screener.in/company/UNOMINDA/consolidated/,Auto components peer,2026-05-02 08:01 UTC,64238,TBD,18850,2175,1222,3.41,29.53,55.5,TBD,17.5,18.8,https://www.screener.in/company/UNOMINDA/consolidated/,Fetched; manual review required,Missing: pb,200,UNOMINDA.NS,2026-05-02 08:03 UTC,64324.79,67006.75,10.3,56.58,42.11,Fetched; manual review required,Fetched core Yahoo EV/PB fields,3.55,30.81,10.3,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
SJS Enterprises,SJS.NS,Auto ancillary / decorative aesthetics,Minda Corporation,MINDACORP,https://www.screener.in/company/MINDACORP/consolidated/,Auto components peer,2026-05-02 08:01 UTC,21265,TBD,5056,633,251,4.21,33.6,77.0,TBD,15.3,17.4,https://www.screener.in/company/MINDACORP/consolidated/,Fetched; manual review required,Missing: pb,200,MINDACORP.NS,2026-05-02 08:03 UTC,21263.25,21758.53,6.16,78.52,72.92,Fetched; manual review required,Fetched core Yahoo EV/PB fields,4.3,34.37,6.16,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
SJS Enterprises,SJS.NS,Auto ancillary / decorative aesthetics,Lumax Auto Technologies,LUMAXTECH,https://www.screener.in/company/LUMAXTECH/consolidated/,Auto ancillary peer,2026-05-02 08:01 UTC,1625,TBD,3217,295,129,0.51,5.51,12.1,TBD,9.02,13.3,https://www.screener.in/company/LUMAXTECH/consolidated/,Fetched; manual review required,Missing: pb,200,LUMAXTECH.NS,2026-05-02 08:03 UTC,1624.8,2123.16,2.19,16.13,10.91,Fetched; manual review required,Fetched core Yahoo EV/PB fields,0.66,7.2,2.19,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
SJS Enterprises,SJS.NS,Auto ancillary / decorative aesthetics,Suprajit Engineering,SUPRAJIT,https://www.screener.in/company/SUPRAJIT/consolidated/,Auto ancillary peer,2026-05-02 08:01 UTC,6060,TBD,3151,352,200,1.92,17.22,30.3,TBD,14.3,14.1,https://www.screener.in/company/SUPRAJIT/consolidated/,Fetched; manual review required,Missing: pb,200,SUPRAJIT.NS,2026-05-02 08:03 UTC,6062.1,6492.69,9.11,39.0,26.19,Fetched; manual review required,Fetched core Yahoo EV/PB fields,2.06,18.45,9.11,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Shilchar Technologies,SHILCTECH.NS,Transformers / electrical capital goods,Transformers and Rectifiers,TARIL,https://www.screener.in/company/TARIL/consolidated/,Transformer peer,2026-05-02 08:01 UTC,44177,TBD,2120,622,453,20.84,71.02,98.3,TBD,33.4,36.9,https://www.screener.in/company/TARIL/consolidated/,Fetched; manual review required,Missing: pb,200,TARIL.NS,2026-05-02 08:03 UTC,44178.71,44364.83,11.39,99.21,99.21,Fetched; manual review required,Fetched core Yahoo EV/PB fields,20.93,71.33,11.39,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Shilchar Technologies,SHILCTECH.NS,Transformers / electrical capital goods,Voltamp Transformers,VOLTAMP,https://www.screener.in/company/VOLTAMP/consolidated/,Transformer peer,2026-05-02 08:01 UTC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,https://www.screener.in/company/VOLTAMP/consolidated/,Fetched; manual review required,"Missing: market_cap_inr_cr, revenue_inr_cr, ebitda_inr_cr, pat_inr_cr, pe, pb, roe, roce",200,VOLTAMP.NS,2026-05-02 08:03 UTC,12266.98,11840.03,5.96,34.0,34.0,Fetched; manual review required,Fetched core Yahoo EV/PB fields,TBD,TBD,5.96,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Shilchar Technologies,SHILCTECH.NS,Transformers / electrical capital goods,Bharat Bijlee,BBL,https://www.screener.in/company/BBL/consolidated/,Electrical equipment peer,2026-05-02 08:01 UTC,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,https://www.screener.in/company/BBL/consolidated/,Fetched; manual review required,"Missing: market_cap_inr_cr, revenue_inr_cr, ebitda_inr_cr, pat_inr_cr, pe, pb, roe, roce",200,BBL.NS,2026-05-02 08:03 UTC,3377.93,3374.84,2.25,16.67,20.06,Fetched; manual review required,Fetched core Yahoo EV/PB fields,TBD,TBD,2.25,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
Shilchar Technologies,SHILCTECH.NS,Transformers / electrical capital goods,TD Power Systems,TDPOWERSYS,https://www.screener.in/company/TDPOWERSYS/consolidated/,Electrical machinery peer,2026-05-02 08:01 UTC,8213,TBD,1566,300,210,5.24,27.38,39.1,TBD,23.5,32.2,https://www.screener.in/company/TDPOWERSYS/consolidated/,Fetched; manual review required,Missing: pb,200,TDPOWERSYS.NS,2026-05-02 08:03 UTC,8215.07,8201.37,9.17,39.16,32.65,Fetched; manual review required,Fetched core Yahoo EV/PB fields,5.24,27.34,9.17,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,Branded formulations / pharma,Torrent Pharma,TORNTPHARM,https://www.screener.in/company/TORNTPHARM/consolidated/,Branded pharma peer,2026-05-02 08:01 UTC,113250,TBD,12396,4188,1906,9.14,27.04,49.7,TBD,23.9,27.5,https://www.screener.in/company/TORNTPHARM/consolidated/,Fetched; manual review required,Missing: pb,200,TORNTPHARM.NS,2026-05-02 08:03 UTC,113248.49,119072.42,11.56,59.34,47.83,Fetched; manual review required,Fetched core Yahoo EV/PB fields,9.61,28.43,11.56,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,Branded formulations / pharma,Alkem Laboratories,ALKEM,https://www.screener.in/company/ALKEM/consolidated/,Branded pharma peer,2026-05-02 08:01 UTC,64123,TBD,13284,2541,2177,4.83,25.24,29.7,TBD,18.3,16.0,https://www.screener.in/company/ALKEM/consolidated/,Fetched; manual review required,Missing: pb,200,ALKEM.NS,2026-05-02 08:03 UTC,64121.44,63634.46,5.31,29.62,26.35,Fetched; manual review required,Fetched core Yahoo EV/PB fields,4.79,25.04,5.31,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
JB Chemicals and Pharmaceuticals,JBCHEPHARM.NS,Branded formulations / pharma,Ajanta Pharma,AJANTPHARM,https://www.screener.in/company/AJANTPHARM/consolidated/,Branded pharma peer,2026-05-02 08:01 UTC,36323,TBD,4758,1286,1021,7.63,28.25,35.0,TBD,22.0,25.4,https://www.screener.in/company/AJANTPHARM/consolidated/,Fetched; manual review required,Missing: pb,200,AJANTPHARM.NS,2026-05-02 08:03 UTC,36324.32,36028.05,8.59,35.6,30.88,Fetched; manual review required,Fetched core Yahoo EV/PB fields,7.57,28.02,8.59,Yahoo enterpriseValue; reviewed against Screener operating metrics,Yahoo priceToBook
